epoch,train_loss,train_MAE,train_RMSE,train_R2,val_loss,val_MAE,val_RMSE,val_R2,lr,time_s
54,58.6058,5.4702,7.6612,0.7713,65.1919,5.5276,8.0698,0.7473,1.875e-06,48.29
55,61.3767,5.6207,7.8232,0.7615,60.4074,4.872,7.7576,0.7665,1.875e-06,48.74
56,62.1711,5.5741,7.7934,0.7633,50.2621,4.8392,7.0762,0.8057,1.875e-06,48.89
57,60.9666,5.5291,7.7866,0.7637,46.4372,4.7671,6.8008,0.8205,1.875e-06,48.27
58,63.4296,5.6615,7.9526,0.7536,49.5008,4.754,7.023,0.8086,1.875e-06,48.82
59,58.7979,5.3915,7.6755,0.7704,53.9778,4.7688,7.3303,0.7915,1.875e-06,48.42
60,65.8195,5.7724,8.1028,0.7442,52.4835,4.6725,7.2286,0.7972,1.875e-06,48.66
61,60.0629,5.4758,7.7553,0.7656,50.1795,4.739,7.0718,0.8059,1.875e-06,48.67
62,62.0177,5.5948,7.8822,0.7579,52.0719,4.6204,7.2008,0.7988,1.875e-06,48.23
63,65.8415,5.7272,8.0683,0.7463,59.0708,5.3008,7.6797,0.7711,9.375e-07,48.61
64,58.2483,5.4383,7.6191,0.7738,49.9907,4.5719,7.0528,0.807,9.375e-07,48.52
65,58.7686,5.3753,7.6237,0.7735,54.081,4.7616,7.3404,0.7909,9.375e-07,48.41
66,62.2797,5.5891,7.8899,0.7574,54.7633,4.6789,7.3815,0.7886,9.375e-07,48.72
67,61.2844,5.5552,7.8045,0.7626,50.4971,4.645,7.0919,0.8048,9.375e-07,48.66
68,66.192,5.82,8.1456,0.7414,50.8868,4.7963,7.1216,0.8032,9.375e-07,48.57
69,57.3312,5.4152,7.562,0.7772,52.5223,5.0843,7.2411,0.7965,4.6875e-07,48.42
70,64.2676,5.6004,8.0251,0.749,50.7405,4.6077,7.1062,0.8041,4.6875e-07,48.41
71,57.1423,5.3096,7.5684,0.7768,53.5642,4.8518,7.3098,0.7927,4.6875e-07,48.05
72,59.2108,5.4619,7.6981,0.7691,57.5499,4.9852,7.5729,0.7775,4.6875e-07,48.95
73,58.766,5.4023,7.6687,0.7708,54.0145,4.7359,7.3373,0.7911,4.6875e-07,48.3
74,59.7397,5.3551,7.7373,0.7667,51.2357,4.5979,7.145,0.8019,4.6875e-07,48.42
75,59.8701,5.5003,7.7289,0.7672,54.6635,4.6634,7.3788,0.7887,2.34375e-07,48.52
76,60.6928,5.474,7.7979,0.763,54.8286,4.7587,7.3932,0.7879,2.34375e-07,48.86
77,53.9665,5.2326,7.3541,0.7892,54.7387,4.6745,7.3812,0.7886,2.34375e-07,48.78
78,56.0599,5.3348,7.495,0.7811,50.3446,4.7528,7.0839,0.8053,2.34375e-07,48.61
79,61.1539,5.5477,7.824,0.7615,51.7936,4.6437,7.1836,0.7998,2.34375e-07,48.81
80,59.5048,5.3797,7.7218,0.7676,59.1084,4.7406,7.6748,0.7714,2.34375e-07,48.78
81,60.212,5.5007,7.7333,0.767,60.1267,5.5964,7.7488,0.767,1.171875e-07,48.69
82,62.1721,5.5735,7.8888,0.7575,55.7917,5.211,7.4594,0.7841,1.171875e-07,48.52
83,58.7938,5.4333,7.6752,0.7704,50.6921,4.5692,7.105,0.8041,1.171875e-07,48.54
84,59.1045,5.5542,7.6934,0.7694,53.3254,4.7794,7.293,0.7936,1.171875e-07,47.93
85,62.0757,5.5991,7.8791,0.7581,52.8128,4.6441,7.2521,0.7959,1.171875e-07,48.6
86,70.1846,5.6186,8.037,0.7483,56.7419,4.9808,7.5111,0.7811,1.171875e-07,48.24
87,59.1233,5.4745,7.6955,0.7692,49.24,4.6488,7.0059,0.8095,5.859375e-08,48.45
88,59.2462,5.4299,7.6975,0.7691,53.8668,4.6575,7.3284,0.7916,5.859375e-08,49.04
89,60.1022,5.4655,7.7435,0.7663,54.7114,4.6417,7.3808,0.7886,5.859375e-08,48.37
90,63.3704,5.5471,7.9669,0.7527,49.7742,4.5641,7.0401,0.8077,5.859375e-08,48.51
91,62.47,5.6606,7.9148,0.7559,49.0113,4.7134,6.9894,0.8104,5.859375e-08,48.16
92,59.059,5.5356,7.6702,0.7707,50.7414,4.5479,7.1079,0.804,5.859375e-08,48.98
93,61.5105,5.5695,7.845,0.7602,55.8063,4.6209,7.453,0.7845,2.9296875e-08,48.35
94,65.8175,5.6961,8.1009,0.7443,49.3888,4.6258,7.0145,0.8091,2.9296875e-08,49.11
95,63.4886,5.5979,7.9683,0.7526,50.2008,4.6134,7.0736,0.8058,2.9296875e-08,48.38
96,59.6252,5.4694,7.7166,0.768,59.4448,5.503,7.7023,0.7698,2.9296875e-08,48.45
97,60.004,5.3234,7.6074,0.7745,50.5477,4.4787,7.091,0.8049,2.9296875e-08,48.51
98,57.9253,5.3717,7.6138,0.7741,50.3666,4.6052,7.083,0.8053,2.9296875e-08,48.65
99,59.5922,5.3383,7.7267,0.7674,52.2636,4.7051,7.2179,0.7978,1.46484375e-08,48.9
100,59.1903,5.4399,7.6925,0.7694,53.7741,4.8551,7.3219,0.792,1.46484375e-08,48.55
101,60.4186,5.6131,7.7838,0.7639,55.2154,5.1216,7.4211,0.7863,1.46484375e-08,48.2
102,60.3089,5.3803,7.7753,0.7644,50.5523,4.5836,7.0974,0.8045,1.46484375e-08,48.36
103,58.6009,5.3078,7.4994,0.7808,50.0594,4.5497,7.0576,0.8067,1.46484375e-08,48.94
104,59.5005,5.4067,7.7034,0.7688,51.0595,4.5314,7.1309,0.8027,1.46484375e-08,48.49
105,59.2195,5.3103,7.6546,0.7717,51.392,4.7932,7.1599,0.8011,1.46484375e-08,48.48
106,57.2396,5.3299,7.5723,0.7766,51.6308,4.6279,7.171,0.8005,1.46484375e-08,48.68
107,60.9962,5.4849,7.8175,0.7619,56.32,5.2167,7.4968,0.7819,1.46484375e-08,48.43
108,63.8568,5.5025,7.9871,0.7514,55.2205,4.8449,7.4223,0.7862,1.46484375e-08,48.56
109,59.9183,5.5534,7.7432,0.7664,49.6362,4.6184,7.0317,0.8081,1.46484375e-08,48.17
